,playerid,Name,Team,pIP,pQS,pSO,pWHIP,pERA,pSVHD,IP,QS,SO,wWHIP,wERA,SVHD,pr,rank,og_rank,rank_dif,pos_SP,pos_RP,adp,rank
126,13649,Clay Holmes,NYY,62,0,67,1.35,3.98,16,0.07271801,-0.5710987,0.20455862,-0.2789455,0.43888789,1.44534525,1.31146557,230,213,-17,0,1,NA,101
323,17586,Tanner Scott,BAL,57,0,70,1.38,3.98,18,-0.0353727,-0.5710987,0.2687437,-0.4610417,0.38697363,1.70973569,1.2979399,231,190,-41,0,1,NA,102
39,11487,Joely Rodríguez,NYY,56,0,58,1.3,3.83,15,-0.0569909,-0.5710987,0.01200338,0.02129983,0.57594855,1.31315003,1.29431218,232,222,-10,0,1,NA,103
359,18152,Anthony Misiewicz,SEA,54,0,54,1.27,4.15,18,-0.1002272,-0.5710987,-0.0735767,0.18410616,0.1379555,1.70973569,1.28689471,233,331,98,0,1,NA,104
381,18519,Phil Bickford,LAD,53,0,60,1.25,3.91,14,-0.1218453,-0.5710987,0.05479343,0.28903104,0.4334919,1.18095481,1.26532714,234,294,60,0,1,NA,105
276,16647,Ryan Thompson,TBR,51,0,50,1.22,3.69,13,-0.1650816,-0.5710987,-0.1591568,0.43152317,0.6756886,1.0487596,1.26063419,235,306,71,0,1,NA,106
17,10430,Mychal Givens,CHC,57,0,64,1.34,4.3,20,-0.0353727,-0.5710987,0.14037354,-0.2172712,-0.0459175,1.97412612,1.24483949,236,524,288,0,1,NA,107
333,17735,Tyler Alexander,DET,102,3,84,1.31,4.45,3,0.93744387,0.14182236,0.56827408,0.15142202,-0.2835614,-0.2731926,1.2422084,237,165,-72,1,1,NA,108
145,13942,Brent Suter,MIL,69,0,62,1.28,3.94,10,0.22404503,-0.5710987,0.09758348,0.23643875,0.57707112,0.65217394,1.21621359,238,287,49,0,1,NA,109
68,1247,Adam Ottavino,NYM,60,0,72,1.38,4.06,17,0.02948171,-0.5710987,0.31153376,-0.4711032,0.30420345,1.57754047,1.18055747,239,401,162,0,1,NA,110
279,16814,Tim Hill,SDP,53,0,50,1.3,3.94,17,-0.1218453,-0.5710987,-0.1591568,0.0057013,0.39575633,1.57754047,1.1268972,241,327,86,0,1,NA,111
336,17780,José Alvarado,PHI,56,0,70,1.46,3.83,19,-0.0569909,-0.5710987,0.2687437,-0.9366755,0.57594855,1.8419309,1.12185809,242,266,24,0,1,NA,112
310,17369,Brett Martin,TEX,61,0,48,1.34,3.95,17,0.05109986,-0.5710987,-0.2019469,-0.2135798,0.47193655,1.57754047,1.11395142,243,290,47,0,1,NA,113
356,18064,Phil Maton,HOU,63,0,72,1.3,4.08,12,0.09433615,-0.5710987,0.31153376,0.05769639,0.2997524,0.91656438,1.10878435,244,273,29,0,1,NA,114
694,6399,José Cisnero,DET,63,0,65,1.37,4.02,16,0.09433615,-0.5710987,0.16176857,-0.4138071,0.3894634,1.44534525,1.10600757,245,301,56,0,1,NA,115
745,9761,Joe Kelly,CHW,50,0,54,1.29,3.56,13,-0.1866998,-0.5710987,-0.0735767,0.04356121,0.81268811,1.0487596,1.0736337,247,269,22,0,1,NA,116
135,13763,Dominic Leone,SFG,58,0,59,1.33,4.03,16,-0.0137546,-0.5710987,0.0333984,-0.1543365,0.32853058,1.44534525,1.06808438,248,458,210,0,1,NA,117
706,6986,Ian Kennedy,ARI,57,0,61,1.27,4.25,15,-0.0353727,-0.5710987,0.07618846,0.20932721,0.0217217,1.31315003,1.01391593,249,778,529,0,1,NA,118
3,10061,Brooks Raley,TBR,48,0,53,1.25,3.83,14,-0.229936,-0.5710987,-0.0949718,0.23630428,0.46440606,1.18095481,0.9856586,250,337,87,0,1,NA,119
651,3184,David Price,LAD,75,3,69,1.3,4.17,4,0.35375391,0.14182236,0.24734867,0.1200905,0.23566873,-0.1409974,0.95768681,251,245,-6,1,1,NA,120
700,6661,Alex Colomé,COL,62,0,52,1.4,4.51,24,0.07271801,-0.5710987,-0.1163668,-0.6103878,-0.3409808,2.50290699,0.93679092,252,474,222,0,1,318,121
545,20517,Nick Sandlin,CLE,50,0,64,1.3,3.72,12,-0.1866998,-0.5710987,0.14037354,-0.0098972,0.62282356,0.91656438,0.91206576,254,236,-18,0,1,NA,122
208,15288,Adam Cimber,TOR,63,0,46,1.3,4.07,14,0.09433615,-0.5710987,-0.244737,0.05769639,0.31470424,1.18095481,0.83185591,256,315,59,0,1,NA,123
43,11632,Heath Hembree,PIT,61,0,73,1.3,4.67,16,0.05109986,-0.5710987,0.33292878,0.04729737,-0.5704198,1.44534525,0.7351527,262,375,113,0,1,NA,124
275,16610,J.P. Feyereisen,TBR,60,0,60,1.4,4.29,19,0.02948171,-0.5710987,0.05479343,-0.5994034,-0.0233129,1.8419309,0.73239097,263,751,488,0,1,NA,125
531,20373,Andrés Muñoz,SEA,47,0,61,1.32,3.55,11,-0.2515542,-0.5710987,0.07618846,-0.1259976,0.76279043,0.78436916,0.67469749,265,302,37,0,1,NA,126
486,19926,Tony Santillan,CIN,66,1,75,1.34,4.36,11,0.15919059,-0.3334584,0.37571884,-0.2089657,-0.1148061,0.78436916,0.66204849,266,272,6,0,1,NA,127
309,17359,Josh Taylor,BOS,49,0,59,1.33,3.95,14,-0.2083179,-0.5710987,0.0333984,-0.1722646,0.33879842,1.18095481,0.60147045,267,240,-27,0,1,NA,128
226,15684,Miguel Castro,NYM,59,0,64,1.39,3.91,13,0.00786357,-0.5710987,0.14037354,-0.5308303,0.5057569,1.0487596,0.60082457,268,454,186,0,1,NA,129
794,sa869798,Robert Suarez,SDP,51,0,52,1.28,4.15,14,-0.1650816,-0.5710987,-0.1163668,0.1043575,0.11891081,1.18095481,0.551676,270,268,-2,0,1,NA,130
567,21205,Connor Brogdon,PHI,57,0,57,1.29,4.27,13,-0.0353727,-0.5710987,-0.0093917,0.08744196,-0.005334,1.0487596,0.51500444,271,282,11,0,1,NA,131
339,17796,Dillon Tate,BAL,64,0,52,1.34,4.41,16,0.1159543,-0.5710987,-0.1163668,-0.2108113,-0.1934805,1.44534525,0.46954224,275,275,0,0,1,NA,132
102,13273,Ross Stripling,TOR,78,3,72,1.27,4.52,2,0.41860835,0.14182236,0.31153376,0.38587454,-0.3946233,-0.4053878,0.45782786,276,270,-6,1,1,NA,133
122,13580,Steven Okert,MIA,54,0,59,1.25,3.96,8,-0.1002272,-0.5710987,0.0333984,0.2995764,0.38145679,0.38778351,0.43088919,277,355,78,0,1,NA,134
158,14375,Amir Garrett,KCR,58,0,68,1.38,4.44,16,-0.0137546,-0.5710987,0.22595365,-0.4643955,-0.2358418,1.44534525,0.38620829,278,392,114,0,1,NA,135
277,16703,Julian Merryweather,TOR,51,0,53,1.28,4.09,12,-0.1650816,-0.5710987,-0.0949718,0.1043575,0.191534,0.91656438,0.38130378,279,364,85,0,1,NA,136
649,3132,Tony Watson,,54,0,46,1.25,4.2,12,-0.1002272,-0.5710987,-0.244737,0.2995764,0.07387621,0.91656438,0.37395414,280,740,460,0,1,NA,137
224,15594,Nick Wittgren,STL,55,0,52,1.25,4.26,11,-0.078609,-0.5710987,-0.1163668,0.31012175,0.00071866,0.78436916,0.32913503,282,466,184,0,1,NA,138
685,5615,Ryan Brasier,BOS,60,0,56,1.35,4.52,16,0.02948171,-0.5710987,-0.0307867,-0.2786528,-0.3508292,1.44534525,0.24345951,285,611,326,0,1,NA,139
654,3237,T.J. McFarland,STL,55,0,36,1.36,4.05,15,-0.078609,-0.5710987,-0.4586872,-0.3367254,0.27483561,1.31315003,0.14286526,287,425,138,0,1,NA,140
301,17264,Sam Coonrod,PHI,50,0,53,1.32,4.2,13,-0.1866998,-0.5710987,-0.0949718,-0.1168141,0.05322991,1.0487596,0.13240514,288,300,12,0,1,NA,141
140,13801,Austin Adams,SDP,47,0,62,1.35,4.06,12,-0.2515542,-0.5710987,0.09758348,-0.2767504,0.19390877,0.91656438,0.10865327,291,305,14,0,1,NA,142
430,19403,Colin Poche,TBR,44,0,55,1.17,3.8,5,-0.3164086,-0.5710987,-0.0521817,0.57047029,0.43996246,-0.0088021,0.06194153,292,309,17,0,1,NA,143
640,27458,Kwang Hyun Kim,,54,3,40,1.33,4.13,8,-0.1002272,0.14182236,-0.3731071,-0.1623045,0.16358721,0.38778351,0.05755426,293,348,55,1,1,NA,144
777,sa3008653,Cody Morris,CLE,55,2,59,1.27,4.07,3,-0.078609,-0.095818,0.0333984,0.19251318,0.24872923,-0.2731926,0.02702121,295,205,-90,0,1,NA,145
749,9817,Sergio Romo,SEA,55,0,54,1.31,4.6,14,-0.078609,-0.5710987,-0.0735767,-0.042704,-0.4430897,1.18095481,-0.0281234,296,545,249,0,1,NA,146
