"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos","Player","ESPN","ESPNID","ESPNNAME"
"104","Cal Quantrill","CLE","19312",1.34802961377748,0.424787497445755,1.07784124143667,-0.955553483785778,-0.646189669761044,-0.825458431404487,0.423456767708598,104,"SP","Cal Quantrill",228,"39875","Cal Quantrill"
"105","Camilo Doval","SFG","21992",-0.802526174633086,-0.614801211462962,-0.966340423357016,1.14405526293567,-0.48876499713949,2.09250145965615,0.364123915999272,105,"SP","Camilo Doval",133,"41337","Camilo Doval"
"106","Jack Flaherty","STL","17479",0.659016594189632,0.57639418416161,0.706171847837816,-0.499542508087001,-0.312749674306758,-0.825458431404487,0.303832012390812,106,"SP","Jack Flaherty",223,"33837","Jack Flaherty"
"107","Liam Hendriks","CHW","3548",-1.72121020075022,-1.61107372416715,-0.966340423357016,1.91657438837504,2.81988214002749,-0.144601123490338,0.293231056637806,107,"SP","Liam Hendriks",300,"31755","Liam Hendriks"
"108","Kenley Jansen","BOS","3096",-0.886042904280098,-0.679775505769757,-0.966340423357016,0.193329994818054,0.48855501812877,2.09250145965615,0.242227639196105,108,"SP","Kenley Jansen",123,"29630","Kenley Jansen"
"109","Chris Martin","BOS","11847",-0.948680451515358,-0.896356486792406,-0.966340423357016,0.781269400362737,1.39055906587483,0.828052173529875,0.188503278102665,109,"SP",NA,NA,NA,NA
"110","Taylor Rogers","SFG","13449",-0.844284539456592,-0.614801211462962,-0.966340423357016,0.489147111276317,0.780761904781344,1.31437882203998,0.158861663821073,110,"SP","Taylor Rogers",328,"33671","Taylor Rogers"
"111","Ross Stripling","SFG","13273",0.742533323836644,0.294838908832166,0.52033715103839,-0.583484367441082,-0.118143701262854,-0.728193101702466,0.127888213300799,111,"SP","Ross Stripling",250,"32789","Ross Stripling"
"112","Robert Suarez","SDP","30115",-0.844284539456592,-0.679775505769757,-0.966340423357016,1.05184622733709,0.518824410139273,1.02258283293392,0.102853001826917,112,"SP","Robert Suarez",391,NA,"Robert Suarez"
"113","Alex Vesia","LAD","25007",-0.927801269103605,-0.528168819053902,-0.966340423357016,0.925529316562172,0.562083423130662,1.02258283293392,0.08788506111223,113,"SP",NA,NA,NA,NA
