playerid,me,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,QS,SO,ERA,WHIP,SVHD,Year
12979,Javier Báez,6.845472551,139,1.445066828,1.626240992,1.613277671,1.098558496,0.510798156,0.551530408,,,,,,,2022
10123,Kyle Gibson,6.843387404,240,,,,,,,2.645277456,2.993506766,2.087321007,-0.022893941,-0.190045646,-0.669778238,2022
9241,Starling Marte,6.8053933,99,1.686104129,0.520364946,0.949992266,1.272590868,1.59483499,0.781506099,,,,,,,2022
17982,Ty France,6.800859756,136,1.169595627,0.821967504,1.229270331,1.37999854,1.323825782,0.876201972,,,,,,,2022
15467,Marco Gonzales,6.799641555,223,,,,,,,2.450714136,2.518226033,1.659420464,0.141739434,0.699319726,-0.669778238,2022
21390,Joe Ryan,6.707156851,227,,,,,,,1.629224564,1.330024199,1.787790627,0.507591378,2.122304321,-0.669778238,2022
19238,Lourdes Gurriel Jr.,6.694369463,127,1.031860026,1.224104248,1.403819122,1.096399009,1.143152976,0.795034081,,,,,,,2022
10603,Chris Sale,6.67096514,107,,,,,,,1.023916459,1.092383832,1.531050301,1.660025002,2.033367784,-0.669778238,2022
6655,Craig Kimbrel,6.66688594,201,,,,,,,0.051099861,-0.571098736,0.739434298,1.824658377,1.855494709,2.767297431,2022
15552,Chad Green,6.659694161,299,,,,,,,0.24566318,-0.571098736,0.611064135,1.568562016,2.566987007,2.238516559,2022
17929,Cedric Mullins,6.617600753,59,1.617236329,1.224104248,0.845262992,1.381211702,0.781807365,0.767978117,,,,,,,2022
16505,Matt Chapman,6.604752238,133,1.479500728,2.028377735,1.578367913,1.319406952,-0.663575081,0.86267399,,,,,,,2022
20126,Dylan Carlson,6.58962893,178,1.445066828,1.023035876,1.229270331,1.477975016,0.646302761,0.767978117,,,,,,,2022
17232,Yoán Moncada,6.588088849,193,1.513934628,0.821967504,1.124541057,1.469636323,0.781807365,0.876201972,,,,,,,2022
18314,Dansby Swanson,6.58438329,130,1.445066828,1.42517262,1.473638638,1.313681244,0.375293552,0.551530408,,,,,,,2022
12828,Andrew Kittredge,6.574720237,278,,,,,,,0.202426887,-0.571098736,0.332928782,2.208802919,1.766558172,2.635102213,2022
19951,Ian Anderson,6.546859203,149,,,,,,,2.061587497,2.042945299,2.023135925,0.745395142,0.343573577,-0.669778238,2022
15010,Corey Knebel,6.545635195,202,,,,,,,-0.013754579,-0.571098736,0.332928782,1.605147211,1.499748561,3.692663957,2022
5760,Avisaíl García,6.525945035,186,1.100727826,1.224104248,1.333999606,1.177239012,0.96248017,0.727394172,,,,,,,2022
19569,David Bedr,6.458881044,274,,,,,,,0.137572447,-0.571098736,0.439903918,2.007584349,1.677621635,2.767297431,2022
3096,Kenley Jansen,6.454565181,102,,,,,,,0.094336154,-0.571098736,0.375718836,1.495391627,1.499748561,3.560468739,2022
12808,Mike Clevinger,6.450930934,206,,,,,,,1.326570512,1.567664565,1.573840356,1.330758253,1.321875486,-0.669778238,2022
19479,Aaron Civale,6.439073149,194,,,,,,,2.321005257,2.280585666,1.723605545,-0.004601344,0.788256263,-0.669778238,2022
12164,Miguel Sanó,6.417133226,292,1.307331227,2.229446107,1.578367913,1.188866002,-0.844247886,0.957369863,,,,,,,2022
17277,Ranger Suárez,6.413465687,162,,,,,,,1.888642324,2.042945299,1.573840356,1.056369294,0.521446652,-0.669778238,2022
