"","name","team","position","points"
"450","Jordan Lyles","KCR","P",-0.823223837444646
"451","Chase Silseth","LAA","P",-0.871758232601523
"452","Cal Quantrill","COL","P",-0.892637263880944
"453","Tyler Wells","BAL","P",-1.00777034581923
"454","Joe Boyle","OAK",NA,-1.18212673375037
"455","Kenley Jansen","BOS","P",-1.22282311506499
"456","Max Scherzer","TEX","P",-1.35037641902017
"457","Bryan Abreu","HOU","P",-1.39407469034742
"458","Erick Fedde","CHW","P",-1.41078763443608
"459","Jason Adam","TBR","P",-1.44115891319993
"460","Austin Gomber","COL","P",-1.51856848400691
"461","Michael Lorenzen","","P",-1.54693635846288
"462","Robert Suarez","SDP","P",-1.68595433225442
"463","Julio Urías","LAD","P",-1.69806312341496
"464","Marco Gonzales","PIT","P",-1.76422186042936
"465","Matt Brash","SEA","P",-1.79019304224184
"466","Ryan Pressly","HOU","P",-1.90054402141066
"467","Michael Kopech","CHW","P",-1.91787343408394
"468","Luis Medina","OAK",NA,-1.93155794257961
"469","Mason Miller","OAK",NA,-1.96712826843656
"470","Hunter Harvey","WSN","P",-2.0577126393373
"471","Adrian Houser","NYM","P",-2.06649349473384
"472","Robert Stephenson","LAA","P",-2.08454927761674
"473","Jake Irvin","WSN",NA,-2.13473182116036
"474","Trevor Bauer","","P",-2.20239759062014
"475","Yuki Matsui","SDP",NA,-2.21835450013528
"476","Jhony Brito","SDP",NA,-2.22840564632819
"477","Garrett Whitlock","BOS","P",-2.29875868662074
"478","Matt Manning","DET","P",-2.32617730035378
"479","Matt Strahm","PHI","P",-2.35761812878496
"480","Ken Waldichuk","OAK","P",-2.44314050103875
"481","Randy Vásquez","SDP",NA,-2.4497434144115
"482","Nick Martinez","CIN","P",-2.49777028870549
"483","DL Hall","BAL","P",-2.53093052082726
"484","Cole Irvin","BAL","P",-2.53990048696713
"485","A.J. Puk","MIA","P",-2.564675637861
"486","Jordan Hicks","SFG","P",-2.60296384730588
"487","José Urquidy","HOU","P",-2.67348628375612
"488","Domingo Germán","","P",-2.68138714792591
"489","Kevin Ginkel","ARI","P",-2.73016209329344
"490","Erik Swanson","TOR","P",-2.77419536284961
"491","James Paxton","","P",-2.78592549456268
"492","Michael Soroka","CHW","P",-2.79332187329469
"493","Kyle Finnegan","WSN","P",-2.8016567982265
"494","A.J. Minter","ATL","P",-2.83232153700046
"495","Bailey Falter","PIT","P",-2.93706903778274
"496","Ryne Nelson","ARI","P",-2.94166078935735
"497","Javier Assad","CHC","P",-2.94236821932605
"498","Brusdar Graterol","LAD","P",-2.97515623248327
"499","Zack Greinke","","P",-3.11869967573534
"500","Alex Lange","DET","P",-3.14199276810441
"501","Casey Mize","DET","P",-3.15155275830461
"502","Chris Martin","BOS","P",-3.19639345109297
"503","Aroldis Chapman","","P",-3.20498062094296
"504","Anthony DeSclafani","SEA","P",-3.23357087828442
"505","Yennier Cano","BAL",NA,-3.29042171016008
"506","Andrew Nardi","MIA",NA,-3.38883255653088
"507","José Leclerc","TEX","P",-3.42635949204169
"508","Trevor Williams","WSN","P",-3.43662143204926
"509","Aaron Ashby","MIL","P",-3.44438785938489
"510","Reynaldo López","ATL","P",-3.59145943693424
"511","Joel Payamps","MIL",NA,-3.60892953919784
"512","Griffin Jax","MIN","P",-3.66767660963668
"513","Jacob deGrom","TEX","P",-3.94469554798258
"514","Yimi García","TOR","P",-4.03294587417178
"515","Hyun Jin Ryu","","P",-4.09157395927955
"516","Tim Mayza","TOR","P",-4.10966140921067
"517","Drew Rasmussen","TBR","P",-4.11344279585709
"518","Colin Poche","TBR","P",-4.12564938257341
"519","Shawn Armstrong","TBR","P",-4.127075572864
"520","Tristan Beck","SFG",NA,-4.14428510483905
"521","Giovanny Gallegos","STL","P",-4.16175280018397
"522","Julian Merryweather","CHC","P",-4.18066889580992
"523","Scott Barlow","CLE","P",-4.19827168714104
"524","Gregory Santos","CHW","P",-4.20840968471057
"525","Robert Gasser","MIL","P",-4.23572267019747
"526","James McArthur","KCR",NA,-4.24429408707334
"527","Caleb Thielbar","MIN","P",-4.27949834355097
"528","Ian Hamilton","NYY",NA,-4.29730539912598
