playerid,Name,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
7739,Travis d'Arnaud,3.984699606,140,0.3810288729,0.5765080811,0.9215262757,0.5174180699,0.8935979062,0.6946204,,,,,,,2021
18839,Josh Naylor,3.951034671,#N/A,0.614513833,0.2660338241,0.5389726338,0.7044356711,1.191501456,0.6355772525,,,,,,,2021
19508,Kyle Lewis,3.905003916,147,1.066890943,1.011172041,1.04195983,0.9609388074,-0.1676834917,-0.008274212707,,,,,,,2021
19197,Will Smith,3.848124441,93,0.461289328,0.9076806218,0.843598682,0.470077822,-0.07458863221,1.240066619,,,,,,,2021
15464,Hunter Renfroe,3.834640706,#N/A,0.585328213,1.425137717,1.04195983,0.5433101223,-0.5400629295,0.7789677535,,,,,,,2021
11609,Willson Contreras,3.774632378,118,0.614513833,0.5765080811,0.6806591679,0.6251958195,0.3722666932,0.9054887838,,,,,,,2021
19966,Bobby Dalbec,3.751110868,295,0.789627553,1.487232568,0.9427792558,0.7199901525,-0.810038022,0.6215193602,,,,,,,2021
14503,Renato Nunez,3.730380095,#N/A,0.505067758,1.052568608,0.8577673354,0.5816686192,0.08367262888,0.6496351448,,,,,,,2021
19566,Nate Lowe,3.711878197,#N/A,0.3810288729,0.5765080811,0.3902017731,0.5654909944,0.6794797294,1.119168746,,,,,,,2021
17838,Willie Calhoun,3.699034245,#N/A,0.570735403,0.8041892028,0.843598682,0.6940942853,0.409504637,0.376912035,,,,,,,2021
18363,Victor Robles,3.685519676,151,1.234708258,0.4109218107,0.8152613752,0.8388305475,0.3350287494,0.05076893476,,,,,,,2021
16219,J.D. Davis,3.66736503,236,0.497771353,0.5351115135,0.4964666736,0.6105279498,0.7260271592,0.8014603811,,,,,,,2021
19955,Gavin Lux,3.630985364,224,0.687477883,0.4937149459,0.7585867616,0.5702731483,0.5584564121,0.5624762128,,,,,,,2021
