"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos"
"127","Ross Stripling","SFG","13273",0.712753656548193,0.240458056096991,0.448370305967599,-0.702077767201227,-0.12730826619786,-0.724559268226594,-0.152363283012896,119,"SP"
"163","Adbert Alzolay","CHC","17859",-0.979424647041627,-0.866777128363541,-0.999542415133376,0.583059225476835,0.889618872038136,1.20084298300491,-0.172223110018662,120,"SP"
"214","Caleb Thielbar","MIN","10078",-0.999812337446323,-0.74142974899065,-0.999542415133376,0.931104835228517,1.13627976235362,0.491484258866988,-0.181915645121228,121,"SP"
"136","Aaron Civale","CLE","19479",0.427325990882441,0.156893136515064,0.593161578077697,-0.623349279039929,0.0339344432632912,-0.825896228817725,-0.237930359119161,122,"SP"
"164","Brock Burke","TEX","17968",-0.89787388542284,-0.74142974899065,-0.999542415133376,0.748431893275612,0.543438287926201,1.09950602241378,-0.247469845931275,123,"SP"
"101","Tony Gonsolin","LAD","19388",0.814692108571677,0.741847573588553,0.737952850187794,-1.0207455529176,-0.714023673527472,-0.825896228817725,-0.266172922914771,124,"SP"
"239","Michael King","NYY","19853",-1.1221384798745,-0.929450818049986,-0.999542415133376,1.27458056124137,1.11778597488854,0.390147298275856,-0.268617878652095,125,"SP"
"161","Evan Phillips","LAD","17734",-0.95903695663693,-0.699647289199687,-0.999542415133376,0.67119269758277,0.473046309387245,1.20084298300491,-0.313144670995067,126,"SP"
"104","Roansy Contreras","PIT","22810",0.814692108571677,0.679173883902108,0.737952850187794,-0.889443000493107,-0.830418948385807,-0.825896228817725,-0.31393933503506,127,"SP"
"200","Aaron Bummer","CHW","16258",-0.95903695663693,-0.845885898468059,-0.999542415133376,1.79399681119904,0.101436767510828,0.59282121945812,-0.316210472070375,128,"SP"
"109","Michael Wacha","","14078",0.937018250999856,0.449370355051809,0.737952850187794,-1.12854584611384,-0.490133259028366,-0.825896228817725,-0.320233877720471,129,"SP"
"189","Giovanny Gallegos","STL","14986",-0.95903695663693,-0.804103438677096,-0.999542415133376,0.606235064438025,1.12576142073285,0.694158180049252,-0.336528145227271,130,"SP"
