"","Name","playerid","R","HR","RBI","RC","wba","wops","pr"
"230","Isiah Kiner-Falefa","16512",-0.00937654678509686,-1.18154165945816,-0.605907443045883,-0.205348292692744,0.850885348377765,0.206253938458618,-3.16543466381361
"231","Dominic Smith","15653",-0.583820267188795,-0.0861951788559239,0.0132530190345578,-0.258350748818174,-0.266172803568333,-0.300401545146634,-3.17695670171951
"232","Luis Arraez","18568",-0.113820859585769,-1.54665715299224,-0.760697558565993,0.0693931572660042,0.688542307335407,0.0463052446843166,-2.42887070570114
"235","Jacob Stallings","13723",-1.00159751839148,-0.93813133043544,-0.709100853392623,-0.697387186183795,-0.484392495827493,-0.63717619027377,-3.40146222314199
"236","Adley Rutschman","sa3011643",-0.897153205590812,-0.573015836901362,-0.760697558565993,-0.641733660266866,-0.814587097635564,-0.788269337388665,-3.40913334498665
"237","Raimel Tapia","14350",0.0950677660155756,-1.42495198848088,-0.709100853392623,-0.25557874835025,0.489729066745313,-0.0502719328288718,-3.55037586746794
"238","LaMonte Wade Jr.","18126",-0.218265172386442,-0.207900343367283,-0.399520622352402,-0.274261146470129,-0.461408672154179,-0.336203707564638,-3.10949550813794
"239","Nick Ahmed","12147",-0.218265172386442,-0.816426165924081,-0.193133801658922,-0.37824726523249,0.198790582505986,-0.0247291164811207,-3.65241094784518
"240","Odúbel Herrera","11476",-0.427153797987787,-0.451310672390002,-0.399520622352402,-0.349604007436585,-0.0853097393181397,-0.259638587818117,-3.4344732711459
"241","Danny Jansen","16535",-0.79270889279014,-0.207900343367283,-0.709100853392623,-0.873466422802981,-1.20163975359966,-1.02028677084166,-3.73877968543173
"242","Joey Wendle","13853",-0.0615987031854331,-0.93813133043544,-0.554310737872513,-0.435408494379601,0.162383699276908,-0.150121124006441,-3.25973304596426
"243","Wilmer Flores","5827",-0.531598110788459,-0.207900343367283,-0.296327212005662,-0.28255870029287,-0.302991242868696,-0.384650619563057,-2.8719059175811
"244","Connor Joe","16572",-0.427153797987787,-0.329605507878643,-0.296327212005662,-0.145531044977779,-0.46302323827999,-0.413465449575189,-3.77037542788125
"245","Cavan Biggio","19252",-0.113820859585769,-0.329605507878643,-0.399520622352402,-0.289240985425796,-0.549544987727877,-0.355297490528721,-3.65291014219428
"247","Nicky Lopez","19339",0.251734235216584,-1.6683623175036,-0.812294263739363,-0.212927144560322,0.718427609742581,0.110035626960233,-3.833786262552
