playerid,Name,Player Rater,ADP,R,HR,RBI,RC,AVG,OPS,IP,K/9,W,ERA,WHIP,SVHD,Year
12979,Javier Baez,8.58781091012731,26,1.74821002817903,1.64788882726388,1.88357135563843,1.35649989452331,0.961727299473639,0.989913505049019,,,,,,,2020
7859,Charlie Blackmon,8.56069710614316,33,1.4569049074063,1.10825398264661,0.913361562794492,1.34342574475043,1.9680032749447,1.77074763360063,,,,,,,2020
16505,Matt Chapman,8.55433213651265,73,1.74821002817903,2.18752367188115,1.68952939706965,1.66435822122481,0.0393076552918381,1.22540316286617,,,,,,,2020
11737,Nicholas Castellanos,8.53698500046147,76,1.4569049074063,1.37807140495524,1.59250841778525,1.69558919914049,1.2132962933414,1.20061477783279,,,,,,,2020
19611,Vladimir Guerrero Jr.,8.42617364083536,78,1.06849807970933,1.10825398264661,1.49548743850086,1.66336638583515,1.71643428107693,1.37413347306648,,,,,,,2020
19709,Fernando Tatis Jr.,8.37631012223864,32,1.74821002817903,1.64788882726388,1.20442450064767,1.45996879054677,1.00365546511827,1.31216251048302,,,,,,,2020
14566,Franmil Reyes,8.31374069200653,118,1.06849807970933,2.45734109418979,1.59250841778525,1.42938686619558,0.416661146093484,1.3493450880331,,,,,,,2020
15676,Jose Abreu,8.30351061301254,71,1.26270149355782,1.64788882726388,1.88357135563843,1.41952944257918,1.08751179640752,1.00230769756571,,,,,,,2020
16556,Ozzie Albies,8.25168572165331,37,1.84531173510327,0.838436560337971,1.30144547993207,1.67828005266579,1.54872161849842,1.03949027511579,,,,,,,2020
16472,Rhys Hoskins,8.19273926757041,98,1.55400661433054,2.18752367188115,1.78655037635404,1.72956707934851,-0.46383033244369,1.39892185809986,,,,,,,2020
12155,Eddie Rosario,8.18452690683606,60,1.35980320048206,1.64788882726388,1.68952939706965,1.28409568363005,1.2132962933414,0.989913505049019,,,,,,,2020
14221,Jorge Soler,8.15482869074882,87,1.26270149355782,2.18752367188115,1.68952939706965,1.52542527301477,0.16509215222572,1.32455670299971,,,,,,,2020
10324,Marcell Ozuna,8.14266195427033,66,1.26270149355782,1.64788882726388,1.78655037635404,1.45379485869426,0.877870968184385,1.11385543021594,,,,,,,2020
20003,Keston Hiura,8.13059585282351,63,1.4569049074063,1.64788882726388,1.49548743850086,1.38801539928487,1.00365546511827,1.13864381524933,,,,,,,2020
16478,Kyle Schwarber,8.06541975432815,89,1.16559978663358,2.18752367188115,1.49548743850086,1.48111872352024,0.0393076552918381,1.69638247850048,,,,,,,2020
2396,Carlos Santana,7.87462410720977,102,1.65110832125479,1.37807140495524,1.59250841778525,1.77858431683334,0.248948483514975,1.22540316286617,,,,,,,2020
14128,Joey Gallo,7.72241349972087,52,1.26270149355782,2.45734109418979,1.49548743850086,1.34183000529995,-0.841183823245336,2.00623729141779,,,,,,,2020
