Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Eduarqui Fernandez","MIL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.170886,0.0598,0.4,0.1495,0.227835,0.264622,0.220133,0.492458,0.0937364,4.3067,0.272817,0,-0.00101872,0.0402537,-0.0815905,32.4795,-0.00101872,0,-0.0846664666896686,0.004000000189989805,-0.00464759,999,,,,"sa3008749"
"Harrison Ray",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.171763,0.053,0.3468,0.152826,0.22381,0.263826,0.217269,0.487636,0.0920625,4.47495,0.248806,0,-0.000930778,0.0378755,-0.0839687,31.2675,-0.000930778,0,-0.08468330564210191,0.004000000189989805,-0.00465341,999,,,,"sa3014815"
"Cristian Hernandez","CHC",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.177555,0.0496,0.2977,0.166611,0.224716,0.238788,0.208509,0.463504,0.0612333,4.21901,0.247173,0,-0.000915716,0.0306002,-0.091244,25.8786,-0.000915716,0,-0.09274089534301311,0.012000000104308128,-0.00465501,999,,,,"sa3015696"
"Brian Kalmer","CHC",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.197853,0.0437,0.2794,0.156407,0.240515,0.330972,0.248506,0.571487,0.133119,3.88797,0.243153,0,-0.00114892,0.0638175,-0.0580266,52.6917,-0.00114892,0,-0.059756716596893966,-0.020999999716877937,-0.00465659,999,,,,"sa3022591"
"Hudson Potts",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.183841,0.066,0.3758,0.175625,0.243232,0.321421,0.247628,0.564653,0.137579,3.23207,0.27093,0,-0.00120033,0.063089,-0.0587552,51.9593,-0.00120033,0,-0.05973930156324059,-0.020999999716877937,-0.00465899,999,,,,"sa917936"
"Carson Roccaforte","KCR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.177897,0.0595,0.3053,0.19489,0.23488,0.256962,0.221136,0.491842,0.0790652,4.53922,0.246689,0,-0.000995931,0.041087,-0.0807572,30.1383,-0.000995931,0,-0.08470487245358527,0.004000000189989805,-0.0046597,999,,,,"sa3022825"
"Anthony Garcia",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.162548,0.096,0.4041,0.237565,0.248968,0.274428,0.236711,0.523396,0.111879,4.09139,0.258023,0,-0.00116129,0.0540222,-0.0678219,44.5186,-0.00116129,0,-0.06876705074682832,-0.012000000104308128,-0.00466176,999,,,,"sa3005924"
"Rosman Verdugo","SDP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.168475,0.0534,0.2983,0.179014,0.221093,0.227056,0.202202,0.448149,0.058581,4.03487,0.237538,0,-0.00104383,0.025362,-0.0964822,25.9042,-0.00104383,0,-0.09283733949996531,0.012000000104308128,-0.00466463,999,,,,"sa3018393"
"Gilberto Jimenez","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.214772,0.0362,0.2713,0.133432,0.248868,0.306801,0.243346,0.555669,0.0920298,4.70568,0.282868,0,-0.00112071,0.0595329,-0.0623113,43.5313,-0.00112071,0,-0.06878194969613105,-0.012000000104308128,-0.00466739,999,,,,"sa3005507"
"Jack Rogers","CIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.188528,0.0644,0.3812,0.16894,0.247862,0.311362,0.24663,0.559224,0.122834,4.45604,0.286299,0,-0.00117875,0.0622601,-0.059584,45.3605,-0.00117875,0,-0.0688688576919958,-0.012000000104308128,-0.00466777,999,,,,"sa3017017"
