"","name","team","points","IDFANGRAPHS","ESPNID","position","replacement_pr","adj_points","FANTPROSNAME","ESPN"
"205","Edouard Julien","MIN",0.282007485880506,"27534",3985190,"2B",1.59559610679458,-1.31358862091408,"Edouard Julien",273
"206","Edouard Julien","MIN",0.282007485880506,"27534",3985190,"DH",4.96976368634212,-4.68775620046162,"Edouard Julien",273
"207","Lars Nootbaar","STL",0.279624399660258,"21454",4448736,"LF",1.01938213796651,-0.739757738306256,"Lars Nootbaar",297
"208","Lars Nootbaar","STL",0.279624399660258,"21454",4448736,"CF",-0.104121754941005,0.383746154601263,"Lars Nootbaar",297
"209","Lars Nootbaar","STL",0.279624399660258,"21454",4448736,"RF",1.01938213796651,-0.739757738306256,"Lars Nootbaar",297
"210","Brendan Rodgers","COL",0.189910006985529,"17907",35073,"2B",1.59559610679458,-1.40568609980905,"Brendan Rodgers",NA
"211","Willson Contreras","STL",0.186407557787036,"11609",32532,"C",-0.568436073401782,0.754843631188818,"Willson Contreras",154
"212","Willson Contreras","STL",0.186407557787036,"11609",32532,"DH",4.96976368634212,-4.78335612855509,"Willson Contreras",154
"213","Yoán Moncada","CHW",0.176746853869118,"17232",33984,"3B",3.03297428222753,-2.85622742835841,"Yoan Moncada",NA
"214","Anthony Rizzo","NYY",0.0758002651734302,"3473",30782,"1B",4.0712619963038,-3.99546173113037,"Anthony Rizzo",238
"215","Jeff McNeil","NYM",0.0234792468567908,"15362",33900,"2B",1.59559610679458,-1.57211685993779,"Jeff McNeil",137
"216","Jeff McNeil","NYM",0.0234792468567908,"15362",33900,"LF",1.01938213796651,-0.995902891109723,"Jeff McNeil",137
"217","Jeff McNeil","NYM",0.0234792468567908,"15362",33900,"RF",1.01938213796651,-0.995902891109723,"Jeff McNeil",137
